season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2021,63492,이재익,삼성,SS,49,투수,11,0,10,0,0,0,1,0,1.0,0,0,0,
2021,68415,양창섭,삼성,SS,52,투수,9,0,15,0,0,0,1,0,1.0,0,0,0,
2021,67449,김성윤,삼성,SS,53,우익수,8,1,23,1,0,7,0,0,0.875,0,0,0,
2021,51417,김현준,삼성,SS,55,우익수,6,0,9 2/3,0,0,5,0,0,1.0,0,0,0,
2021,69439,라이블리,삼성,SS,55,투수,6,6,33 1/3,0,0,2,0,0,1.0,0,0,0,
2021,51460,이재희,삼성,SS,59,투수,5,5,21 2/3,0,0,0,3,0,1.0,0,0,0,
2021,65844,박세웅,삼성,SS,62,투수,4,0,3,0,0,0,0,0,,0,0,0,
2021,64410,백승민,삼성,SS,65,1루수,3,0,5,0,0,3,0,0,1.0,0,0,0,
2021,65412,권정웅,삼성,SS,67,포수,2,1,3,0,0,2,0,0,1.0,0,0,0,
2021,64498,구준범,삼성,SS,70,투수,1,1,2,0,0,0,0,0,,0,0,0,
2021,60288,김응민,삼성,SS,70,포수,1,1,7,0,0,4,0,0,1.0,0,3,0,0.0
2021,66406,안주형,삼성,SS,70,2루수,1,0,1,0,0,0,1,1,1.0,0,0,0,
2021,68466,이태훈,삼성,SS,70,1루수,1,0,1,0,0,0,0,0,,0,0,0,
2021,50449,허윤동,삼성,SS,70,투수,1,1,3 2/3,0,0,0,1,0,1.0,0,0,0,
2021,50923,알테어,NC,NC,1,중견수,134,129,1078 2/3,2,0,319,4,2,0.994,0,0,0,
2021,62947,나성범,NC,NC,2,우익수,131,130,1071 2/3,5,0,231,5,1,0.979,0,0,0,
2021,62925,강진성,NC,NC,3,1루수,120,115,970 1/3,13,0,839,56,67,0.986,0,0,0,
2021,78122,김태군,NC,NC,4,포수,100,76,666,6,0,568,48,9,0.99,1,47,18,27.7
2021,62931,노진혁,NC,NC,5,유격수,65,61,503 2/3,5,0,84,136,29,0.978,0,0,0,
2021,66928,박준영,NC,NC,5,3루수,65,39,353 2/3,3,0,31,65,10,0.97,0,0,0,
2021,69992,최정원,NC,NC,5,2루수,65,56,451 1/3,7,0,92,133,19,0.97,0,0,0,
2021,76118,원종현,NC,NC,8,투수,61,0,53,1,0,3,5,2,0.889,0,0,0,
2021,63959,임정호,NC,NC,9,투수,60,0,34 2/3,0,0,2,6,0,1.0,0,0,0,
2021,65462,김기환,NC,NC,11,좌익수,55,37,318,2,0,73,1,0,0.974,0,0,0,
2021,62655,홍성민,NC,NC,12,투수,53,0,41 1/3,0,0,3,11,0,1.0,0,0,0,
