season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2018,73632,임준혁,SSG,SK,19,7.36,6,0,0,0,0,,7 1/3,12,0,3,0,2,6,6,2.05,0,0,0,0,35,122,0.387,6,0,0,1,0,1,0,0,0,0,2,0,0,2,6,12,0.5,0.4,20.3,16.6,2.45,3.68,0.67,0.429,0.581,1.01
2018,65343,김택형,SSG,SK,20,7.71,14,1,2,0,2,0.333,11 2/3,9,1,10,0,11,10,10,1.63,0,0,0,0,52,202,0.214,0,0,0,0,0,2,0,0,0,1,2,6,0,0,14,8,1.75,0.267,14.4,17.3,8.49,7.71,1.1,0.365,0.286,0.651
2018,78819,백청훈,SSG,SK,21,9.42,18,1,2,0,1,0.333,14 1/3,17,4,9,3,14,15,15,1.81,0,0,0,4,72,279,0.298,3,1,1,2,1,0,0,0,0,1,3,6,0,0,6,22,0.27,0.317,15.5,19.5,8.79,5.65,1.56,0.408,0.596,1.004
2018,66859,김주한,SSG,SK,22,13.5,7,1,0,0,1,1.0,6,9,2,6,0,5,10,9,2.5,0,0,0,0,34,117,0.333,2,0,0,1,0,0,0,0,0,1,1,2,0,1,9,5,1.8,0.333,16.7,19.5,7.5,9.0,0.83,0.441,0.63,1.071
2018,68856,최민준,SSG,SK,23,14.4,2,0,0,0,0,,5,11,5,0,0,3,9,8,2.2,0,0,0,0,28,95,0.393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2.5,0.3,47.5,19.0,5.4,0.0,,0.393,0.964,1.357
2018,64893,박민호,SSG,SK,24,15.43,3,0,0,0,0,,2 1/3,4,1,1,1,0,4,4,2.14,0,0,0,0,12,43,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5.0,0.333,14.3,18.4,0.0,3.86,0.0,0.5,0.8,1.3
2018,79130,강지광,SSG,SK,25,21.0,4,0,0,0,0,,3,8,1,4,0,3,7,7,4.0,0,0,0,0,21,69,0.5,2,0,1,0,0,0,0,0,0,0,2,0,0,0,3,2,1.5,0.583,17.3,23.0,9.0,12.0,0.75,0.6,0.813,1.413
2018,68848,조성훈,SSG,SK,26,27.0,1,0,0,0,0,,2/3,3,0,0,0,0,2,2,4.5,0,0,0,0,4,14,0.75,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.75,14.0,21.0,0.0,0.0,,0.75,1.0,1.75
2018,67863,이원준,SSG,SK,27,29.45,3,0,1,0,0,0.0,3 2/3,13,3,1,0,2,12,12,3.82,0,0,0,0,25,90,0.565,3,0,0,1,0,1,0,1,0,0,1,0,0,0,3,6,0.5,0.526,30.0,24.5,4.91,2.45,2.0,0.56,1.087,1.647
2018,74748,정재원,SSG,SK,28,30.86,2,0,1,0,0,0.0,2 1/3,8,0,1,0,0,8,8,3.86,0,0,0,0,15,55,0.571,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2.0,0.571,27.5,23.6,0.0,3.86,0.0,0.6,0.857,1.457
2018,67443,장지훈,삼성,SS,1,0.0,1,0,0,0,0,,1,1,0,0,0,1,0,0,1.0,0,0,0,0,4,16,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.333,16.0,16.0,9.0,0.0,,0.25,0.25,0.5
2018,68419,최지명,삼성,SS,2,3.21,8,4,1,0,0,0.8,28,30,5,8,1,25,11,10,1.36,0,0,1,0,120,485,0.27,5,1,0,0,0,0,0,4,2,2,0,0,0,4,28,28,1.0,0.309,60.6,17.3,8.04,2.57,3.13,0.325,0.468,0.793
2018,79440,정인욱,삼성,SS,3,3.48,19,1,0,0,0,1.0,31,31,3,9,3,27,17,12,1.29,0,0,0,0,137,581,0.254,7,1,1,2,0,1,0,0,0,1,6,1,0,1,24,42,0.57,0.298,30.6,18.7,7.84,2.61,3.0,0.316,0.402,0.718
2018,66451,최충연,삼성,SS,4,3.6,70,2,6,8,16,0.25,85,73,6,26,2,101,34,34,1.16,0,0,0,4,344,1384,0.233,16,2,2,1,1,8,0,0,0,2,14,30,1,9,68,72,0.94,0.324,19.8,16.3,10.69,2.75,3.88,0.295,0.355,0.65
2018,61457,임현준,삼성,SS,5,3.9,40,0,1,0,3,0.0,27 2/3,20,3,11,5,26,12,12,1.12,0,0,0,0,116,463,0.204,4,1,1,1,1,0,0,0,0,0,11,3,0,2,19,34,0.56,0.243,11.6,16.7,8.46,3.58,2.36,0.313,0.357,0.67
2018,99445,권오준,삼성,SS,6,3.95,47,3,1,1,2,0.75,43 1/3,43,7,12,3,52,21,19,1.27,0,0,0,0,189,761,0.251,7,0,1,2,0,2,0,0,0,3,17,2,1,0,35,43,0.81,0.316,16.2,17.6,10.8,2.49,4.33,0.309,0.415,0.724
2018,61411,심창민,삼성,SS,7,4.07,59,5,2,17,5,0.714,66 1/3,57,12,22,9,68,32,30,1.19,0,0,0,7,284,1108,0.23,9,2,2,3,2,1,0,0,0,5,30,30,3,2,39,87,0.45,0.263,18.8,16.7,9.23,2.98,3.09,0.312,0.427,0.739
