season_year,player_name,team_name,babip,bb_rate,k_rate,bb_k,iso,ab_per_hr,rc,rc27,wrc,spd,wsb,woba,wraa,war
2021,송성문,키움,0.278,9.1,15.3,0.59,0.122,40.83,30.86,4.41,28.69,3.43,-0.03,0.318,-5.0,0.53
2021,이성곤,한화,0.375,14.1,25.2,0.56,0.111,172.0,25.68,5.14,29.19,3.39,-1.41,0.358,3.85,0.51
2021,이흥련,SSG,0.29,8.2,21.2,0.39,0.095,42.33,13.98,3.66,14.51,1.86,-0.02,0.312,-3.44,0.51
2021,문보경,LG,0.269,14.0,19.4,0.72,0.133,34.75,37.04,4.44,37.25,3.84,0.1,0.327,-3.21,0.51
2021,김민수,삼성,0.274,6.9,14.9,0.46,0.184,25.33,10.94,4.76,10.62,1.84,-0.01,0.337,-0.08,0.5
2021,서건창,LG,0.28,9.0,12.7,0.71,0.085,117.5,27.24,3.93,25.57,5.22,1.17,0.308,-7.27,0.44
2021,이형종,LG,0.256,12.1,23.1,0.52,0.171,23.9,30.78,4.18,33.4,2.14,0.11,0.334,-1.15,0.44
2021,김준태,롯데,0.257,13.0,26.7,0.49,0.153,27.75,13.71,4.02,13.09,2.56,-0.01,0.313,-3.02,0.44
2021,알몬테,KT,0.318,8.8,20.0,0.44,0.133,32.14,29.64,4.57,30.51,1.04,0.17,0.337,-0.24,0.43
2021,최용제,두산,0.345,9.2,17.6,0.52,0.029,,12.93,4.53,12.68,2.74,-0.02,0.32,-1.96,0.39
2021,김주형,키움,0.257,5.7,21.4,0.27,0.06,,6.87,4.22,8.62,,0.19,0.338,0.01,0.38
2021,김찬형,NC,0.471,7.7,19.2,0.4,0.045,,4.36,7.85,4.69,2.93,0.0,0.401,1.5,0.35
2021,강승호,두산,0.297,6.5,22.9,0.28,0.136,43.0,34.49,3.72,31.78,5.68,0.64,0.306,-10.03,0.35
