season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2025,79608,안치홍,한화,HH,20,0.172,66,196,174,9,30,4,0,2,40,18,4,1,16,2,1,39,4,0.23,0.245,0.475,5,0.238,0.2,6,49,57,0.86,2,0.41,3.75,0.057,9.7,0.168
2025,52764,허인서,한화,HH,20,0.172,20,30,29,2,5,1,0,0,6,2,0,0,0,0,1,12,1,0.207,0.2,0.407,0,0.182,0.333,1,9,3,3.0,0,0.0,3.47,0.034,0.4,0.142
2025,52769,권광민,한화,HH,22,0.167,15,18,18,2,3,1,0,0,4,0,0,0,0,0,0,5,1,0.222,0.167,0.389,0,0.0,0.25,1,6,4,1.5,0,0.0,4.06,0.056,0.0,0.131
2025,50704,임종찬,한화,HH,22,0.167,17,35,30,2,5,1,0,1,9,2,0,0,5,0,0,13,0,0.3,0.286,0.586,1,0.2,0.0,2,4,8,0.5,0,0.38,4.2,0.133,3.4,0.204
2025,69766,유로결,한화,HH,24,0.154,20,16,13,1,2,0,0,0,2,0,2,0,0,0,1,4,0,0.154,0.214,0.368,0,0.0,0.0,0,4,3,1.33,0,0.0,2.81,0.0,0.6,0.135
2025,66715,김인환,한화,HH,25,0.08,10,26,25,2,2,0,0,1,5,3,0,0,1,0,0,9,1,0.2,0.115,0.315,0,0.167,0.0,1,8,6,1.33,1,0.11,4.46,0.12,-0.2,0.102
2025,53754,김서현,한화,HH,26,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,50711,김승일,한화,HH,26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,63765,김종수,한화,HH,26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,67703,박상원,한화,HH,26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,50709,박정현,한화,HH,26,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,1,0,,0,0.0,4.0,0.0,-0.2,0.0
2025,69213,윤산흠,한화,HH,26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
